30,10,875794
36,10,286902
65,10,273337
70,10,945831
79,10,131367
85,10,658744
62,10,78843
87,10,158215
110,10,18993
105,10,296920
104,10,409051
135,30,21583
150,30,300822
151,30,535528
170,30,573872
123,30,31280
129,30,874386
190,30,956780
196,40,902737
200,40,183490
201,40,744754
220,40,999159
230,40,436994
240,40,363014
241,30,410385
252,30,873825
260,30,279482
263,30,295992
256,40,444299
300,40,771216
303,40,952157
305,50,733570
229,50,675539
230,50,699414
287,20,14557
299,20,605094
300,20,394862
356,20,869050
367,20,283162
380,20,378651
400,50,387925
388,50,279960
399,50,830072
366,50,292522
388,60,476487
355,60,640646
255,60,190456
220,60,948404
320,60,72857
398,60,367746
401,70,199003
405,70,467636
420,70,981602
421,70,111191
426,70,745047
429,70,807035
430,70,641845
432,70,636915
435,70,394579
436,70,940208
438,70,157734
450,50,768967
470,60,697897
475,60,389390
480,60,381183
485,60,611017
490,60,444676
500,60,666750
520,60,579053
536,70,735177
550,70,656965
600,70,925125
700,70,964164
720,70,301722
730,70,167396
750,70,540525
760,70,472501
765,70,781879
770,80,853712
775,80,94917
780,80,754437
785,40,201069
636,40,617942
600,40,879796
799,40,694414
800,40,757189
805,60,860002
850,60,634774
835,60,77793
830,60,141274
900,60,91771
950,60,805682
920,60,362926
960,80,469990
1000,80,568455
980,80,81789
1201,80,950405
1220,80,967817
1230,80,333004
1500,80,224179
1550,80,366576
1600,80,959602
1700,80,275198
1800,80,601158
1999,80,424129
2000,80,529962
1300,80,255229
2200,50,155945
2300,50,969805
400,50,969805
4000,50,786256
4500,10,476487
1000,20,666750
5000,50,1000000
